Time,Input,Output,Temperature,Drive
0.0594104,-0.371905,-0.143428,46.5004,0.3
0.0596372,-0.242251,-0.0904378,42.3034,0.3
0.0598639,-0.0936113,-0.0332881,36.7193,0.3
0.0600907,0.0625188,0.0210118,30.8409,0.3
0.0603175,0.213637,0.071062,29.9572,0.3
0.0605442,0.347918,0.120084,34.0467,0.3
0.060771,0.455768,0.165024,39.6264,0.3
0.0609977,0.531065,0.200212,44.6488,0.3
0.0612245,0.571786,0.221684,48.2751,0.3
0.0614512,0.580045,0.228374,50.2353,0.3
0.061678,0.561474,0.221982,50.6144,0.3
0.0619048,0.524084,0.206685,50.0412,0.3
0.0621315,0.476838,0.186532,48.7458,0.3
0.0623583,0.42815,0.165325,46.9147,0.3
0.062585,0.38458,0.146137,44.8198,0.3
0.0628118,0.349944,0.130747,42.7322,0.3
0.0630386,0.324961,0.119507,40.857,0.3
0.0632653,0.30749,0.111558,39.2953,0.3
0.0634921,0.29326,0.105214,38.0319,0.3
0.0637188,0.276968,0.0984193,36.9501,0.3
0.0639456,0.253506,0.0892203,35.8653,0.3
0.0641723,0.219094,0.0762221,34.5719,0.3
0.0643991,0.172089,0.0589528,32.8909,0.3
0.0646259,0.113344,0.0380319,30.7116,0.3
0.0648526,0.0460565,0.0150466,28.017,0.3
0.0650794,-0.0248763,-0.00789254,25.1833,0.3
0.0653061,-0.0938259,-0.0295693,24.5729,0.3
0.0655329,-0.155567,-0.0498954,26.2998,0.3
0.0657596,-0.206303,-0.067862,28.835,0.3
0.0659864,-0.244437,-0.0822888,31.2227,0.3
0.0662132,-0.270877,-0.0928495,33.1292,0.3
0.0664399,-0.288827,-0.100292,34.5228,0.3
0.0666667,-0.303104,-0.106233,35.5437,0.3
0.0668934,-0.319082,-0.112714,36.4256,0.3
0.0671202,-0.341468,-0.121671,37.4276,0.3
0.0673469,-0.373139,-0.134465,38.7674,0.3
0.0675737,-0.414287,-0.151509,40.564,0.3
0.0678005,-0.462016,-0.171987,42.7968,0.3
0.0680272,-0.510518,-0.193714,45.2905,0.3
0.068254,-0.551815,-0.213225,47.7285,0.3
0.0684807,-0.576956,-0.226213,49.6943,0.3
0.0687075,-0.577484,-0.228312,50.7348,0.3
0.0689342,-0.546917,-0.21639,50.6028,0.3
0.069161,-0.48199,-0.189515,49.401,0.3
0.0693878,-0.383456,-0.148241,46.8383,0.3
0.0696145,-0.256248,-0.0960428,42.7889,0.3
0.0698413,-0.109017,-0.0389842,37.3334,0.3
0.070068,0.0469185,0.0158312,31.2339,0.3
0.0702948,0.199095,0.0661235,29.7816,0.3
0.0705215,0.335538,0.115268,33.5197,0.3
0.0707483,0.446377,0.160881,39.0723,0.3
0.0709751,0.525089,0.197265,44.201,0.3
0.0712018,0.569239,0.220207,47.986,0.3
0.0714286,0.580544,0.228341,50.1145,0.3
0.0716553,0.564324,0.223098,50.6299,0.3
0.0718821,0.528417,0.208498,50.1328,0.3
0.0721088,0.481758,0.188655,48.9036,0.3
0.0723356,0.432879,0.167398,47.1144,0.3
0.0725624,0.388575,0.147904,45.0332,0.3
0.0727891,0.352962,0.132095,42.9341,0.3
0.0730159,0.327067,0.120461,41.0313,0.3
0.0732426,0.30901,0.112249,39.4369,0.3
0.0734694,0.294687,0.105834,38.1475,0.3
0.0736961,0.278842,0.0991776,37.055,0.3
0.0739229,0.256298,0.0902949,35.9799,0.3
0.0741497,0.223096,0.0777153,34.7162,0.3
0.0743764,0.177352,0.0608631,33.0803,0.3
0.0746032,0.119674,0.0402499,30.9533,0.3
0.0748299,0.053044,0.0173804,28.3081,0.3
0.0750567,-0.0177741,-0.00565125,25.3855,0.3
0.0752834,-0.0871757,-0.0274587,24.518,0.3
0.0755102,-0.149839,-0.0479447,26.0664,0.3
0.075737,-0.201788,-0.0662096,28.5788,0.3
0.0759637,-0.241184,-0.0810231,31.003,0.3
0.0761905,-0.268682,-0.0919537,32.9627,0.3
0.0764172,-0.287284,-0.0996462,34.4035,0.3
0.076644,-0.301687,-0.105649,35.4521,0.3
0.0768707,-0.317264,-0.111984,36.3361,0.3
0.0770975,-0.338839,-0.120618,37.3151,0.3
0.0773243,-0.369523,-0.132992,38.6138,0.3
0.077551,-0.409803,-0.149625,40.3631,0.3
0.0777778,-0.457091,-0.169835,42.5576,0.3
0.0780045,-0.505845,-0.191574,45.0374,0.3
